Location,Latitude,Longitude
"Star Recycling, Survey no: 44 P1P1 44P1P2 & 46, Plot no: 45, R K Industrial Zone-09, Kuwadva- Wankaner Road, Ranpur360023, Tal & Dist: Rajkot",22.310724,70.811408
"R Planet Integrated Solution Pvt. Ltd Plot no: 201, 202 (old block no. 264,265 paiki 1), Village
 : Zak-382330, Tal : Dahegam, Dist : Gandhinagar",23.0912818,72.7522086
"Payas Recyclers, Survey No.2139, Plot No.28, Parshwa Industrial Park, B/H. Sandvik Asia, Ahmedabad-Mehsana Highway, Rajpur- 382740, Tal:Kadi, Dist: Mehsana",23.022505,72.5713621
"ID Technocom, Plot No.C1-414/P, GIDC Estate
 Mansa, Visnagar Road, Vill-Mansa, Mansa382845, Dist : Gandhinagar",23.441539,72.6553592
"M/s. Unity E-Recycling Co, Sr. No: 310/p, Plot No: 4, Danilimda, Ahmedabad-380028",22.9920446,72.5838814
"M/s. Mahaarana Industries Pvt. Ltd., Survey No. 466 & 475, Village: Timba, Ta: Daskroi, Dist; Ahmedabad",22.8443192,72.5263984
"M/s GL Recycling LLP, Survey No. 108, Village: Soliya, Ta.:Kotda Sangani, Dist.: Rajkot-360030",22.0487428,70.8605745
"M/s. Electro Alloys Recycling And
 Transformation HUB, Plot No. 301/13 , GIDC Palej-392220, Bharuch",21.9242666,73.087438
"M/s. Reart Recycling Private Limited., Plot No.365, Survey No.111p1, Golden Green Industrial Park (phase-D), Khambha-360311,
 Tal:Lodhika, Dist:Rajkot",22.1519434,70.720232
"M/s. Tvarita Phones Pvt. Ltd., Plot No.171, Survey No. 846, N. H. 8, Vapi, Valsad-396191",20.3549527,72.9084046
"M/s. Kalpana E-Recyclers, Plot No. 2486, Madhuban Industrial Park, Village: Kuha, Ta: Daskroi, Dist: Ahmedabad",23.0031124,72.7649054
"M/s. Enviro Green Recycling, Survey/Block No. 736/737, Village:
 Tarsadi., Ta: Mangrol, Dist: Surat -394125",21.0606678,73.1320101
"M/s. Liberty Recycling, Survey No.1439, Old Survey
 No.256/1/5, Near Balda Industrial Park, Village: Balda, Tal: Pardi, Dist: Valsad",20.5228288,72.9663563
"M/s. Green Earth Management Company, Plot No. 13, Supreme – 3 Industrial Park, Near Vibrant weighbridge, Zak- Kadadara Road, Vill.: Kadadara, Tal- Dahegam, Gandhinagar",23.0858038,72.7857069
"M/s. Gujarat Green Recycling, Plot No. MSME- 500, Sanand-II,
 Engineering Industrial Estate, GIDC Sanand-II, Dist:Ahmedabad",22.9514723,72.2683447
"M/s. New India Sales Corporation, Plot No. C1B-1915, GIDC Panoli,
 Dist: Ankleshwar-394116",21.5745,72.9900466
"M/s Technogreen Recycling Private Limited , Survey No.367-377, Village - Modasar. Tal- Sanand .Distt.Ahmedabad-382481",22.892482,72.3592341
"M/s. Evergreen E Waste Management Pvt. Ltd., Plot No.: 30, 31, Kamla Amrut Industrial Park, At: Budasan kadi, Taluka & Dist.: Mehsana –
 382715",23.3149178,72.4164166
"M/s. Egnus Ewaste Solution Private Limited., Plot No.31, Village: Motwan, Tal: Ankleshwar, Dist.: Bharuch- 393020",21.5541079,72.8838228
"M/s Global E Waste Management Systems Plot No: Shop No 729/s-1 to 729/s-5 , Sonum Township Nessai Salcete – Goa",15.2514814,74.0123851
"M/s. Group Ten Plus, H. No. 8/5, Abreovaddo , Saligao, Bardez, Goa",15.53973,73.784501
"M/s Honey Disposal Store, Plot No. 67-68
 Jarrout Road, Village Mandour Industrial Area Ambala city.",30.407473,76.7968506
"M/s. Thapar Disposal Industries, 902A/5/6, Chara Mandi Road, Ambala City",30.3752011,76.782122
"M/s. Mittal Battery, plot No. 349, Indl-Area, Ph- 1, Panchkula. (Not available on website)",30.6655239,76.8422076
"M/s. Exigo Recycling Pvt. Ltd., G. T. Road, Samalkha Panipat",29.2405272,77.0117647
"M/s. Exigo Recycling (P) Ltd., Barsat Road, Panipat",29.4260212,76.9929301
"M/s. Adinath Recyclotronix (P) Ltd., Plot
 No.#361, Industrial Estate, HSIIDC, Panipat(Not available on website)",29.3909464,76.9635023
"M/s Earth Waste Management Pvt. Ltd. Vill- Ismaila, Distt. Rohtak",28.7928756,76.7379808
"M/s. Giriraj Metal, P. No. 39 HSIIDC, IE, Kutana, Rohtak",28.8814017,76.5517132
"M/s. Green World International, Pvt. Ltd., GR 60-61 Ganpati Industrial Dham Industrial Area Bahadugarh Haryana",28.6913756,76.9314064
"M/s Renu Recycling Company , Plot No. 1257, MIE-B, Bahadurgarh",28.6836297,76.9560313
"M/s AMN E-Waste Management Pvt Ltd., Plot No. 171, Sector-59, Industrial Area, Faridabad (Not available on website)",28.4260938,77.3078661
"M/s Endeavor Re-processor and Recyclers India, Plot no. 323, Sec-24, industrial Area, Faridabad (Not available on website)",28.3575839,77.3074704
"M/s E-waste Solutions, Industrial Shed, 1A, Industrial Estate, Sec-6, Faridabad",28.361837,77.3195195
"M/s V S Enterprises, Plot no. 9, Pragati Vihar, Sector-59, Faridabad (Not available on website)",28.577451,77.238362
"M/s Dotline Informatics Pvt. Ltd., Plot No. 302, Ph-V, HSIIDC, Indl. Estate, Rai, Distt. Sonipat",28.8747224,77.1276629
"M/s RBH E-Waste Recycle Hub Pvt. Ltd. (old name M/s Satellite Vision India), Plot No. 130,
 HSIIDC, Rai, Distt. Sonipat",28.9240465,77.1028668
"M/s Global Waste Solution, Village Ram Nagar, Tehsil Ganaur, Distt. Sonipat",29.0868277,77.0826795
"M/s Global Waste Solution Unit-II, Village Dhaturi Tehsil Ganaur, Distt. Sonipat",29.1385215,77.0274612
"M/s Tes Amm (India) Pvt. Ltd., Village Wazidpur Saboli, Distt. Sonepat",28.9930823,77.0150735
"M/s Bluenvir, 81, HSIIDC, Rai, Distt. Sonipat",28.9267681,77.0967356
"M/s. EARTH SENSE RECYCLE PVT LTD, Plot
 No. 100, Sector - 5, IMT Manesar, Gurgaon",28.3692084,76.9239414
"M/s. Nirvana Recycling Pvt. Ltd., Plot No. D-6, Udyog, Vihar, Phase-VI, Sector-37, Gurugram",28.4983921,77.0849175
"M/s. Green Vortex Waste Management Pvt Ltd.Plot No 177, Sector 7, IMT Manesar",28.3742772,76.8858383
"M/s. SMS ENTERPRISES, Plot No. 544- D, First
 Floor, Sector -37, Pace City - II, Gurgaon (Haryana)",28.4376636,76.994743
"M/s. Apicem Recyclers Pvt. Ltd., Plot No. 359, Sector-8, IMT Manesar, Gurugram, Haryana",28.3784907,76.9339898
"M/s. KM Global E-Waste Private Limited, Ground Floor Plot no. -359, Sector-8, IMT Manesar, Gurugram, Haryana",28.3753044,76.8895447
"M/s 3 R Recycler, Plot No. 392, Sector-8, IMT Manesar Gurgaon",28.3738339,76.8969724
"M/s. Deshwal Waste Management Pvt Ltd, plot No-292, Sec-7, IMT Manesar, Gurgaon, Haryana",28.3727357,76.9105103
"M/s. Deshwal Waste Management Pvt Ltd, Plot No. -116, Sec-8, IMT Manesar, Gurgaon, Haryana",28.3727357,76.9105103
"M/s. Namo E-Waste Management Ltd., 14/1, Mathura Road, Faridabad Haryana",28.455841,77.30769
"M/s. E Waste Recyclers India, Shed no. 15 Roz Ka Meo Industrial Area Nuh.",28.5245577,77.2793059
"M/s Radhey Steel Traders, Vill. PatviBarara Road, Shahabad, Distt. Kurukshetra",30.1557114,76.8697232
"M/s Pegasus Waste Management Pvt. Ltd., Village -Bhora Kalan, Gurugram",28.3068784,76.8399337
"M/s. 3 R Zero Waste Pvt. Ltd.,Plot No.- 62,Sector-8, IMT Manesar",28.3714267,76.8890813
"M/s. Ecoverva Waste Recycling Private Limited, Plot No. 350
 Block C Village Pathreri Ansal Pioneer Industrial Park,
 Distt. Gurgaon",28.4594965,77.0266383
"M/s. Naturevolt Recyclers India Pvt Ltd, Plot No. 323, Part-IV, Sector-24,Faridabad",28.3575531,77.3074543
"M/s. AV Green Soluti ons Pvt Ltd., Plot No. 274, Sector-24 , Industrial Area,Faridabad",28.352235,77.30231
"M/s. Re Chakra Waste Management LLP., Plot No. -18, Sector-6, Faridabad",28.3640003,77.3183312
"M/s. CLG Projects LLP, Plot no 75-76 sector 59 pragati vihar Ballabgarh faridabad",28.3023243,77.3071819
"M/s. SSL E Waste Management LLP, Plot No. 410, Sector- 68, IMT, Faridabad",28.3190363,77.3626428
"M/s Shunty Disposal Store, Manmohan Nagar,
 G.T Road, Ambala city",30.3922488,76.7761246
"M/s. Green Wealth Solutions Pvt. Ltd. Plot No. 109, IE,
 Kutana, HSIIDC, Hissar Road, Rohtak",28.8955152,76.606611
"M/s. Endeavor Recyclers India Private Limited, 71//14/2/2, 71//15/1, Village- Hassangarh,Tehsil- Sampla, District- Rohtak,
 Haryana-124404",28.8364924,76.8461496
"M/s. Shivalik Solid Waste Management Ltd., (Unit –II), Village-Shabowal, Tehsil Nalagarh, District-Solan HP",31.0460685,76.7025709
"M/s Ortech India Corporations, Plot No. 67-B, Industrial Estate, Lodhi Majra, Baddi,",30.9578258,76.7913558
"M/s. VRG Groups, Gangyal",32.6742737,74.8646079
"M/s. Bashir Ahmad Babdemb, Srinagar",34.0868823,74.8148887
"M/s. Bashir Enterprises Noorbagh, Srinagar",34.0742387,74.8035549
"M/s. Meliorate Lubes Pvt Ltd, Plot No. 606/A, Ward No. 4/34, Vikas Nagar, hesal Piska More, Ranchi Jharkhand - 834005",23.3612433,85.1847924
"M/s. Simran Infotech, Vill & P.O Kanak Chas,
 P.S. Chandan Kiari dist. Kokaro Jharkhand- 828134",23.4872725,86.3121222
"M/s. Sriram Eco Raksha Computer Services Pvt. Ltd. No. B-29, KSSIDC Indl. Estate, Bommasandra, Hosur Road, Anekal Taluk, Bangalore – 560 099",12.8748301,77.4446749
"M/s. E-Friendly Waste Recyclers, First Floor, No. 17 1st, Cross, Azeez Sait Industrial Town, Nayandahalli, Bangalore-560039",12.9498005,77.5196967
"M/s. Eco Globe E-Waste Recyclers, Plot No. 87, 2nd Phase, 2nd Sector, Bidadi Industrial Area, Bidadi Hobli, Ramanagra Taluk and District",12.7968835,77.3838303
"M/s. E-Hasiru, No. 168/B, 1st Floor, 7th Main Road, 3rd Phase, Peenya Industrial Area, Bangalore – 558",13.0224384,77.5278356
"M/s. Green Enabled IT Solutions Pvt. Ltd., No. 2/1, 27th Cross, Behind Krishna Grand Hotel, Banashankari 2nd Stage, Bengaluru",12.9207431,77.5736418
"M/s. Coral Waters, No. 8E, KIADB Industrial Area, Hoskote Taluk, Banglaore Rural District",13.0692593,77.7982428
"M/s. Royal Touch, No. 3/2, 2nd Cross, Ezakiel Industrial Estate, K. G Halli, Nagawara Main
 Road, Banglaore",13.0335758,77.6223853
"M/s. Pharmateck Consultancy, Sy. No. 40/1, Mangammanapalya, Bommanahalli",12.9067482,77.6311854
"M/s. Cerebra Integrated Technologies Ltd., Plot No. 41 to 46, Appasandra village, KIADB Indl. Area, Narasapura Hobli, kolar Taluk and District",13.114418,77.9838578
"M/s. AGK Enterprises, Unit-I, No 33/A,
 Industrial “A” Layout, Bannimantap, Mysore - 570015",12.3428322,76.6447457
"M/s. Aptus Recycling Pvt. Ltd., Sy No. 241/4B, Magnur Village, Kirgavalu Hobli, Malavalli Taluk Mandya District- 571430",12.3897502,77.0375758
"M/s. E-Parisara Pvt. Ltd., No. 30-P3, Dabaspet Bangalore",13.2278101,77.2416451
"M/s. Tech Logic, Unit-2, Shed No. 36, 2nd Main, Ranganathapura, Bangalore - 560 044",12.980086,77.5303018
"M/s. E-Scrapy Recyclers, No.106, Andrahalli Main Road, Byreshwara Industrial Area, Peenya
 2nd stage, Bangalore - 560 058",13.0090687,77.4904786
"M/s. KH E-Waste Recyclers, No. 104, 1st Main Road, 4th Cross, Azeez Sait Industrial Area,
 Nayandahalli, Bangalore – 39",12.9275807,77.5506039
"M/s. RPN Industries, Plot No B2, KSSIDC Industrial Area, Kumbalgodu, Mysore Road,
 Bangalore-74",12.9098185,77.4809711
"M/s. I Seven, # 9/4, Kachohalli Industrial Estate Kachohalli, Near Saibaba Temple, Laxmipura
 Post, Bengaluru- 562123",13.0061346,77.4680012
"M/s. Greenscape Eco Management Pvt. Ltd., Plot No. R-12, Veerasandra Indl Area, Anekal Tq,
 Bangalore Urban District – 100",12.8490175,77.6895806
"M/s. Trishyirya Recycling India Pvt. Ltd., No.
 315, 4th Phase, Peenya Industrial Estate, Bangalore - 560 058",13.0220934,77.5143195
"M/s. E Pragathi Recycling Plot No. 66, Road No. 18, Anthaasanahalli Indl. Area, IInd Phase,
 Tumkur",13.3780611,77.1137428
"M/s. Ingram Micro India Pvt. Ltd., I Floor, Plot No. 1-4, Sy No. 5/2, 15th Km, Singasandra Post, Baretena Agrahara, NH-7, Hosur Main Road,
 Bangalore- 560100",12.911692,77.625902
"M/s. Vans Chemistry, Plot No. 94/5, Shed NO. 13R14, SRRLayout, Kannalli Village, Bangalore-
 560094",12.9901359,77.682602
"M/s. Moogambigai Metal Refineries, Unit (3), Plot No. 174, Industrial Area, Baikampady
 Mangalore- 575011",12.9566491,74.8212159
"M/s. Sogo Synergy Private Limited, Shed No. A- 57, KSSIDC Industrial Estate, Bommasandra, Hosur Road, Anekal Taluk, Bangalore Urban
 District – 560099",12.8747916,77.4447097
"M/s. MKK E-Waste Enterprises, Shed No. 292, Belur Industrial Area, Belur, Dharwad Dist-
 580011",15.5294486,74.909916
"M/s. BSMR Metals, No. R. O 7, KSSIDC Industrial Estate, Veerasandra II stage, Attibele Hobli,
 Bangalore Urban District",12.8748439,77.4446625
"M/s. Mak Technology Industrial, Shed No. SP-5, Veerasandra KSSIDC Industrial Estate, Phase 0- 11, 3rd Cross, Huskur Min Road, Electronic City
 Post, Bengaluru",12.8748663,77.4446423
"M/s. Earth Sense Recycle Pvt. Ltd., Printech Park Cluster 1st Phase, Plot No. A17, Kanakapura Taluk, KIADB Industrial Area Harohally Village
 Han, Harohalli, Ramanagara, Bangalore- 562112",12.6815831,77.4731876
"M/s. 4R Recycling Pvt Ltd, Shed No A-5, Industrial Estate, Peenya 3rd Stage Industrial area, Nallakadirenahalli Village, Yeshwanthpur
 Hobli, Bangalore North Taluk, Bangalore.",13.0195762,77.4983377
"M/s. Prakruthi Recycling Pvt. Ltd., Sy No. 22, Flat No. 103, 5th Block, 5th Cross, SSI Area,
 Rajajinagar, Bangalore- 560010",12.9897671,77.5620993
"M/s. Elxion Pvt. Ltd., P. No. 24, 23rd A. Main Road, J.P Nagar 2nd Phase Indl Bangalore- 560078",12.9097856,77.6480933
"M/s. K. G. Nandini Enterprises, No. 46/4, 46/5, Billakempanahalli Village, Bidadi Hobli, Ramanagaram District.",12.810243,77.406589
"M/s. Eco Bird Recycling Company Pvt. Ltd., No. 185, Azeez Sait industrial Area, Nayandahalli, Mysore Road, Bangalore -39",12.9446315,77.5255736
"M/s. Afeefa Spectro Alloys, Sy No. 289/1, Nagaragere village, Gauribidnur Tq.",13.7580824,77.6344717
"M/s. Rashi E-Waste Solutions Pvt. Ltd., SW-51, Shed No. 26, Phase II, Apparel Park, Doddaballapura, Bangalore Rural District",13.292726,77.538907
"M/s. Coral Communication and Networks Pvt. Ltd., No. 52, Hoskote Industrial area,
 Bangalore Rural District",13.0692593,77.7982428
"M/s. Ash Recyclers, No. 3, KSSIDC Ind Estate, Hoskote, Bangalore Rural District",13.0692593,77.7982428
"M/s. E Pragathi Recycling, Plot No. 66, Road No. 18, Antharasanahalli Indl Area, IInd Phase,
 Tumkur",13.3780611,77.1137428
"M/s Sheltron Digital systems Pvt.Ltd No.27, maney estate, Sy.no.121, Kumbalgodu,
 Bengaluru-560074",12.8794008,77.4451317
"M/s Tes-Amm, India pvt. Ltd. Sy. No. 118, Site. No. 8, Mookambika Temple Road, Machodalli
 Forest Gate, Magadi Road, Bangalore",12.9715987,77.5945627
"M/s Sonal Metacop, No.5, Sy No.5/1, Kachohalli
 Industrial Estate, Kachohalli, Laxmipura Post, Bangalore-562123",12.9912145,77.469042
"M/s E-Ward & Co. No.11, Mutthachari
 Industrial area, Nayandahalli, Mysore road, Bangalore-560039",12.9446315,77.5255736
"M/s. Swadesh Recyclers LIP,Sy. No. 216, KIADB Industrial Area, Koorandahalli Village, Malur
 Taluk Kolar District",12.9830286,77.9131747
"M/s. FR E-Waste Enterprises, Shed No. 120, Katha No 120/B, 52120/C, 5th Cross, Azeez Saig Industrial Area, Nayandahalli, Ward No 131,
 BBMP RR Nagar Zone, Bengaluru — 560039",12.9189158,77.5202043
"M/s. Amara metals enterprises, No V20/1, 4th
 main, 2nd stage, Peenya Industrial Area, Bengaluru -560058",13.0104046,77.5026325
"M/s. Sri sai company # R-15, Katha
 No.320/322/29, Chikkanagamangala, Sarjapura Hobli, Anekal Taluk, Bengaluru",12.8575579,77.7864057
"M/s. Global E-waste Management Services, P- 21, Hebbal Industrial area, Hebbal I Phase,
 Mysuru",12.3590745,76.6189504
"M/s. Echakra Innovations Pvt Ltd SB/47, 1st
 Cross, Peenya Ind Estate-Stage-1, Bengaluru",13.009441,77.5386913
"M/s. HMG Eco care Recycling ,C-22 3rd cross, Kumbalagodu, Bangalore560074",12.9021904,77.4691746
"M/s. Npewaste Private limited, Plot No. 96, Koorgalli Industrial Area, Belavadi Post, Mysuru
 -570018",12.3568639,76.5663637
"M/s. Earth Care E-waste Private Limited., Plot No.15,KIADB Industrial Area, 155, Kumbalgodu, KIADB Industrial Area, Kumbalgodu Village, Kengeri Hobli, Bengaluru South Taluk,
 Bengaluru",12.9017955,77.453704
"M/s. E-Plant Recycling, Plot No. 242/A, 2"" Phase, Narasapura Industrial Area, Kolar Tq &
 District",13.1770316,78.2020387
"M/s. Greens Recology,Plot No. 415, KIADB, Vasanthanarapura Industrial Area, Tumakuru
 Taluk and District",13.4625394,77.0362967
"M/s. India Best Way Recycling, Shed No. 08 (Mane Industrial Estate), Sy. No. 155, Kumbalgodu Village, Kengeri Hobli, Bengaluru
 South Taluk, Bengaluru Urban District —560074",12.8854042,77.6299601
"M/s. Eco Trend recyclers #81 A & 82A Kachohalli Industrial Estate,Dasanpura Hobli, Bengaluru",13.0039962,77.4672093
"M/s. Extract,Plot No. 14/A, KIADB, Attibele Indl. Area, Anekal Taluk, Bengaluru",12.7808512,77.7437775
"M/s. Gopalan reprocessors India Pvt Ltd No.131, A Main Road, Industrial Suburb, Peenya
 Ii Stage, Bengaluru",13.0274618,77.5261129
"M/s. IKON Recyclers .,Plot No.5, Ground & 2"" Floor, 2nd Cross, 2"" Main Road, Magadi Road,
 Bengaluru -560079",12.9817155,77.533767
"M/s. E-Scrappy Recyclers,No. 106, Adrahalli main road, Byreshwara industrialEstate, Peenya
 2nd stage, Bengaluru -560091",13.0143279,77.4879411
"M/s. Global Tech RecyclersNo-8/5,2nd Building, 1st Cross,,Kachohalli Village &Kachohalli
 Industrial Estate,Lakshmipura Post, Dasanapura",13.0000525,77.4709142
"M/s. GRKMS Private Limited,1st Stage, Sompura,Bharathipura Dabaspet,Bengaluru-
 562111",13.2237063,77.2664163
"M/s. Communication Test Design, India Private Limited Plot No 48, Near Balaji Temple, Peenya
 II Phase, Bengaluru -560058,",13.0350599,77.5225294
"M/s. JSA Web solutions, Plot No. 93 A-4, Phase II, Jigani Industrial Area, Jigani Hobli, Anekal
 Taluk Bengaluru",12.7856782,77.6300305
"M/s. Recycler India MGT LLP , Plot No.679 to
 689, KIADB industrial area , Harohalli 3rd phase Kanakapura Taluk, Ramanagara District",12.3207382,76.7809143
"M/s. Trishyiraya Recycling India pvt Ltd, SW51, Apparel park, indl area, Bashettihalli & part of Arehalli, Shed no.10, Doddballapura, Bengaluru-
 561203",13.2601044,77.5540605
"M/s. Envirotech IT Solutions No.136, 1st Floor, Shiva Farm, Magadi Main
 Road,Vrushabhavathinagar, Bengaluru -560079",12.9851517,77.4829938
"M/s. Ace Recyclers, Plot No. C29, KSSIDC, Industrial Estate, Hoskote Taluk, Bengaluru -
 562114",12.8748663,77.4446423
"M/s. E-Pragathi Recycling Pvt. Ltd. Plot No. 564, Sy.No.55 & 52, Yelladadlu Village, Vasanthanarsapura, Industrial Area, 2nd Stage,
 Kara, Hobli, Tumkur -572128",13.4804441,77.0306967
"M/s. Best E-waste Recyclers Pvt Ltd., Plot No.459, Vasantha Narasapura Indl Area, 2nd
 Phase, Tumkur- 572138",13.4625394,77.0362967
"M/s. E2E Recycling Buisness Pvt Ltd No.550, Sy No.102(p)Beeragondanahalli, Village, SIA 2nd stage,Nelamangala, Bengaluru",13.2241542,77.2495508
"M/s. Return lab Recyclers pvt ltd. P.no.68, Sw- 51, Phase-2, Doddabalapura Apparel park,
 Bengaluru-561203",13.2957137,77.5363908
"M/s. Think Recycling Pvt Ltd Plot No b-77 KSSIDC dustrialarea,Bommasand ra Bengaluru -
 560099",12.8124199,77.6940315
"M/s. Kerala Enviro Infrastructure Ltd, Infrastructure Ltd E Waste Dismantling Facility, Common TSDF project, Inside Fact-CD Campus,
 Ambalamedu, Kochi 682303",9.9780321,76.3840342
"Arihant E Recycling Pvt Ltd, Gut No.307/1, Shahada Road, Dondaicha, Tal-Sinkheda, Dist-
 Dhule.",21.2725651,74.7455078
"Eco-Recycling Ltd., Eco-House, Near Top Glass Enclave, Bhoipada,
 Near Range Office, Sativali Road, Vasai (E), Dist.
 Palghar",19.40523,72.849357
"E-Incarnation Recycling Pvt. Ltd. Plot No. J-56, MIDC Area, Tarapur, Boiser, Dist: Palgar,
 Maharashtra - 401506.",19.7831533,72.7444429
